# This file contains a map between the DSID and the name of the histogram to be used by HistNameSvc
# Format: DSID / Name used in HistNameSvc / Description(not used anywhere) / etag / crossSection / kfactor / genFiltEff				
# WARNING 1: for samples with multiple e-tags the e-tag that should be used must be specified in the 4th column
# WARNING 2: if the columns 5-6 are filled the PMG cross-sections will be overwritten with those provided in this file
346344	                           ttH	                 PhPy8EG_A14NNPDF23_NNPDF30ME_ttH125_semilep	e7148	
345043	                            ZZ	                               Sherpa_221_NNPDF30NNLO_ZbbZvv	e6470     	
345044	                            ZZ	                               Sherpa_221_NNPDF30NNLO_ZbbZll	e6470     	
345045	                            WZ	                               Sherpa_221_NNPDF30NNLO_WlvZbb	e6470      
345053                            VHbb        PowhegPythia8EvtGen_NNPDF3_AZNLO_WmH125J_MINLO_lvbb_Vp    e5706
345054                            VHbb        PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_lvbb_Vp    e5706
345055                            VHbb         PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llbb_Vp    e5706
345056                            VHbb         PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_vvbb_Vp    e5706
345057                            VHbb                  PowhegPythia8EvtGen_NNPDF3_AZNLO_ggZH125_llb    e5706
345058                            VHbb                  PowhegPythia8EvtGen_NNPDF3_AZNLO_ggZH125_vvb    e6004
345935	                         ttbar	           PhPy8EG_A14_ttbarMET100_200_hdamp258p75_nonallhad    e6620
410157                             ttV                  aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttZq    e5070
412063                             tZq                    aMcAtNloPythia8EvtGen_tllq_NNPDF30_nf4_A14    e7054
407345	                         ttbar	           PhPy8EG_A14_ttbarMET200_300_hdamp258p75_nonallhad    e6414
407346                           ttbar             PhPy8EG_A14_ttbarMET300_400_hdamp258p75_nonallhad    e6414
407347                           ttbar                 PhPy8EG_A14_ttbarMET400_hdamp258p75_nonallhad    e6414
410472                           ttbar                             PhPy8EG_A14_ttbar_hdamp258p75_dil    e6348
410648                          stopWt                    PowhegPythia8EvtGen_A14_Wt_DR_dilepton_top    e6615
410649                          stopWt	              PowhegPythia8EvtGen_A14_Wt_DR_dilepton_antitop    e6615
410082                         ttgamma           MadGraphPythia8EvtGen_A14NNPDF23LO_ttgamma_noallhad    e4404      	
506683	          AZH_lltt_mA500_mH400	                           MGPy8EG_2HDM_AZH_lltt_mA500_mH400	e8319	1.0	1.0            
506684	          AZH_lltt_mA600_mH400	                           MGPy8EG_2HDM_AZH_lltt_mA600_mH400	e8319	1.0	1.0            
506685	          AZH_lltt_mA600_mH500	                           MGPy8EG_2HDM_AZH_lltt_mA600_mH500	e8319	1.0	1.0            
506686	          AZH_lltt_mA700_mH400	                           MGPy8EG_2HDM_AZH_lltt_mA700_mH400	e8319	1.0	1.0            
506687	          AZH_lltt_mA700_mH500	                           MGPy8EG_2HDM_AZH_lltt_mA700_mH500	e8319	1.0	1.0            
506688	          AZH_lltt_mA800_mH400	                           MGPy8EG_2HDM_AZH_lltt_mA800_mH400	e8319	1.0	1.0            
506689	          AZH_lltt_mA800_mH600	                           MGPy8EG_2HDM_AZH_lltt_mA800_mH600	e8319	1.0	1.0            
506690	          AZH_lltt_mA900_mH400	                           MGPy8EG_2HDM_AZH_lltt_mA900_mH400	e8319	1.0	1.0            
506691	          AZH_lltt_mA900_mH600	                           MGPy8EG_2HDM_AZH_lltt_mA900_mH600	e8319	1.0	1.0            
506692	         AZH_lltt_mA1000_mH400	                          MGPy8EG_2HDM_AZH_lltt_mA1000_mH400	e8319	1.0	1.0            
506693	         AZH_lltt_mA1000_mH600	                          MGPy8EG_2HDM_AZH_lltt_mA1000_mH600	e8319	1.0	1.0           
506694	         AZH_lltt_mA1100_mH400	                          MGPy8EG_2HDM_AZH_lltt_mA1100_mH400	e8319	1.0	1.0            
506695	         AZH_lltt_mA1100_mH600	                          MGPy8EG_2HDM_AZH_lltt_mA1100_mH600	e8319	1.0	1.0            
506696	         AZH_lltt_mA1200_mH400	                          MGPy8EG_2HDM_AZH_lltt_mA1200_mH400	e8319	1.0	1.0            
506697	         AZH_lltt_mA1200_mH500	                          MGPy8EG_2HDM_AZH_lltt_mA1200_mH500	e8319	1.0	1.0            
506698	         AZH_lltt_mA1200_mH600	                          MGPy8EG_2HDM_AZH_lltt_mA1200_mH600	e8319	1.0	1.0            
506699	      AZH_vvbb_ggF_mA500_mH200	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA500_mH200	e8319	1.0	1.0            
506700	      AZH_vvbb_ggF_mA500_mH300	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA500_mH300	e8319	1.0	1.0            
506701	      AZH_vvbb_ggF_mA600_mH200	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA600_mH200	e8319	1.0	1.0            
506702	      AZH_vvbb_ggF_mA600_mH400	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA600_mH400	e8319	1.0	1.0            
506703	      AZH_vvbb_ggF_mA700_mH200	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA700_mH200	e8319	1.0	1.0            
